"","regionName2","year","estL","est","estU","wpp_lb","estNL","estN","estNU"
"1","Australia and New Zealand",2010,0.0800152970825492,0.090131730991449,0.105349164163007,363468,29083,32760,38291.05
"2","Australia and New Zealand",2011,0.0802891043937334,0.0900838549467221,0.104844983237316,361219,29001.95,32540,37872
"3","Australia and New Zealand",2012,0.0805743923819065,0.0900891826556613,0.104563873402008,367336,29597.875,33093,38410.075
"4","Australia and New Zealand",2013,0.0808364226963062,0.0900042046481974,0.103891085871008,363883,29415,32751,37804.2
"5","Australia and New Zealand",2014,0.0811064176151115,0.0902002610269868,0.103880460867003,356285,28897,32137,37011.05
"6","Australia and New Zealand",2015,0.0813694254434726,0.0907592295433012,0.104921943886129,365186,29714.975,33144,38316.025
"7","Australia and New Zealand",2016,0.0815956556245312,0.0906681814722606,0.104445619203966,367924,30021,33359,38428.05
"8","Australia and New Zealand",2017,0.0818401421579425,0.0911427972771865,0.105296807087481,372262,30465.975,33929,39198
"9","Australia and New Zealand",2018,0.0819561505606121,0.090670958197345,0.103744462149071,377177,30911.975,34199,39130.025
"10","Australia and New Zealand",2019,0.0822813015990267,0.0921803032936473,0.107203903059008,368224,30297.95,33943,39475.05
"11","Australia and New Zealand",2020,0.0824591082667913,0.0927333561398093,0.108180710727666,359547,29647.925,33342,38896.05
"12","Caribbean",2010,0.0620888159074638,0.082686615560539,0.110964359143219,696981,43274.725,57631,77340.05
"13","Caribbean",2011,0.0620566452562826,0.0825545793587157,0.110689593183679,700906,43495.875,57863,77583
"14","Caribbean",2012,0.0617276739731735,0.0824412373997477,0.11089140636754,691256,42669.625,56988,76654.35
"15","Caribbean",2013,0.0616015723938758,0.0823228691457368,0.110799836384862,686978,42318.925,56554,76117.05
"16","Caribbean",2014,0.0613970206068592,0.0822078254822298,0.11079847004136,683025,41935.7,56150,75678.125
"17","Caribbean",2015,0.0612976226437672,0.0821005841603953,0.110663079691269,685257,42004.625,56260,75832.65
"18","Caribbean",2016,0.0610486169482295,0.0820774485314139,0.111070592465875,675752,41253.725,55464,75056.175
"19","Caribbean",2017,0.0608653873360566,0.0820093016052194,0.111064643624618,671497,40870.925,55069,74579.575
"20","Caribbean",2018,0.0608064167294369,0.0818975739631732,0.110846502643806,670435,40766.75,54907,74315.375
"21","Caribbean",2019,0.0605260808444894,0.0819309706150724,0.11132501524554,660849,39998.6,54144,73569.025
"22","Caribbean",2020,0.0604090366287925,0.0819394986344698,0.111635477966321,650663,39305.925,53315,72637.075
"23","Central America",2010,0.0530283363700146,0.0582140437905898,0.0641289180986307,3302399,175120.725,192246,211779.275
"24","Central America",2011,0.054321890162835,0.0592440810119825,0.0649998928061449,3311757,179900.9,196202,215263.85
"25","Central America",2012,0.0556561758660296,0.0603673590438202,0.0659314628379408,3314523,184473.675,200089,218531.35
"26","Central America",2013,0.0569279267670764,0.0614294261376251,0.0668573622814388,3306054,188206.8,203089,221034.05
"27","Central America",2014,0.0584177804951715,0.0627820053262823,0.0681212219327163,3264566,190708.7,204956,222386.225
"28","Central America",2015,0.0599521651529478,0.0642341615380099,0.069597906858514,3202268,191982.9,205695,222871.15
"29","Central America",2016,0.0613477433371343,0.0656317258768254,0.0710503607675971,3156187,193624.95,207146,224248.225
"30","Central America",2017,0.0625966911168324,0.0669685060236707,0.0724690785976194,3113135,194871.95,208482,225606.025
"31","Central America",2018,0.0637507938814394,0.0682615588321249,0.073906688522556,3062485,195235.85,209050,226338.125
"32","Central America",2019,0.0648476939267288,0.069576290691025,0.0754656576729096,2967577,192440.525,206473,223950.15
"33","Central America",2020,0.0657483615858715,0.0707467000046504,0.0769201870746972,2945989,193693.95,208419,226606.025
"34","Central Asia",2010,0.063013465915618,0.07388016062005,0.0883886657333725,1540779,97089.825,113833,136187.4
"35","Central Asia",2011,0.0630317226588133,0.0738961891195442,0.0883439875798268,1561975,98453.975,115424,137991.1
"36","Central Asia",2012,0.0630480615153252,0.0739077684375567,0.0883205113640286,1593229,100450,117752,140714.8
"37","Central Asia",2013,0.0630097809265517,0.0738576343342353,0.0881462703382359,1636757,103131.7,120887,144274.025
"38","Central Asia",2014,0.0630603518782804,0.0738729843393659,0.0881749588689068,1687288,106400.975,124645,148776.55
"39","Central Asia",2015,0.0629836396855438,0.0738336243772022,0.0880967545730378,1708219,107589.85,126124,150488.55
"40","Central Asia",2016,0.0630036144775842,0.0738634567123419,0.0881621321260482,1707854,107600.975,126148,150568.05
"41","Central Asia",2017,0.062975004656691,0.0737826818400878,0.088049216049766,1691115,106497.975,124775,148901.35
"42","Central Asia",2018,0.0629272212032115,0.0737260595688902,0.0880938455796679,1757696,110606.925,129588,154842.2
"43","Central Asia",2019,0.062924844927423,0.0737185339328181,0.0880875018890736,1779973,112004.525,131217,156793.375
"44","Central Asia",2020,0.0630391330087749,0.073862916230243,0.0884735860558033,1822579,114893.8,134621,161250.1
"45","Eastern Africa",2010,0.0734058220316993,0.0842643370265455,0.10111267275576,13245651,972307.9,1116136,1339303.175
"46","Eastern Africa",2011,0.0736021601467115,0.0844481416757251,0.101297414115679,13388998,985459.175,1130676,1356270.875
"47","Eastern Africa",2012,0.0737334484230715,0.0846547560373837,0.101532505349712,13464276,992767.5,1139815,1367061.675
"48","Eastern Africa",2013,0.0739183659410508,0.0849224203750179,0.101936655766908,13616204,1006487.55,1156321,1387990.3
"49","Eastern Africa",2014,0.0740445393861074,0.0849831948129941,0.101930617781875,13784137,1020640.075,1171420,1405025.6
"50","Eastern Africa",2015,0.0741192775834736,0.0850042082141078,0.101801953275161,13979802,1036172.825,1188342,1423171.15
"51","Eastern Africa",2016,0.0741898475476006,0.0850471910033175,0.101822524124055,14189675,1052729.825,1206792,1444828.525
"52","Eastern Africa",2017,0.0743215211394088,0.0851626212630612,0.101875367950895,14387110,1069271.9,1225244,1465692.125
"53","Eastern Africa",2018,0.0744257997029691,0.085193817707566,0.101706100695577,14599827,1086603.8,1243815,1484891.475
"54","Eastern Africa",2019,0.0744573258975777,0.0852112736266098,0.101622389210089,14854173,1106002,1265743,1509516.55
"55","Eastern Africa",2020,0.0746137423886606,0.0853121787927601,0.101880000986621,15081774,1125307.6,1286659,1536531.15
"56","Eastern Asia",2010,0.0520737448966325,0.0615343642977518,0.0732254493110168,19867029,1034550.6,1222505,1454772.125
"57","Eastern Asia",2011,0.0524084393714679,0.0615721589349681,0.0729156030939695,19740854,1034587.35,1215487,1439416.275
"58","Eastern Asia",2012,0.0525813574399488,0.0615834096860665,0.0727263258346211,21152921,1112249.3,1302669,1538374.225
"59","Eastern Asia",2013,0.0528267337728636,0.061584558337794,0.0724819820863486,20155913,1064771.05,1241293,1460940.525
"60","Eastern Asia",2014,0.0529535385130121,0.0615968431484308,0.0724451955190956,20587094,1090159.475,1268100,1491436.05
"61","Eastern Asia",2015,0.0530641093636016,0.061676268790002,0.0724352793207445,19313263,1024841.1,1191170,1398961.6
